BU,Form/Fragment Name,Form/Fragment Path,Field CSS Class,data-dropdown-json value,Notes
ci,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/ci/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,commodity-insights_country,/api/assets/spglobal/commodity-insights/es/form-content-fragments/ci-country-states-cf.json,
ci,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/ci/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,commodity-insights_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/es/form-content-fragments/country-of-residence.json,
ci,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/ci/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,commodity-insights_industry,/api/assets/spglobal/commodity-insights/es/form-content-fragments/industry.json,
ci,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/ci/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,commodity-insights_Job_Function__c,/api/assets/spglobal/commodity-insights/es/form-content-fragments/job-function-cf.json,
ci,country-es,/content/forms/af/spglobal/ci/es/form-fragments/country-es,ci_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/es/form-content-fragments/country-of-residence.json,
ci,business-information,/content/forms/af/spglobal/ci/form-fragments/business-information,commodity-insights_country,data-ci-country-states-cf-servlet,
ci,business-information,/content/forms/af/spglobal/ci/form-fragments/business-information,commodity-insights_Country_of_Residence__c,data-country-of-residence-servlet,
ci,business-information,/content/forms/af/spglobal/ci/form-fragments/business-information,commodity-insights_industry,data-industry-servlet,
ci,business-information,/content/forms/af/spglobal/ci/form-fragments/business-information,commodity-insights_Job_Function__c,data-job-function-servlet,
ci,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/ci-job-function-country-zip-state-city-phone,commodity-insights_country,data-ci-country-states-cf-servlet,
ci,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/ci-job-function-country-zip-state-city-phone,commodity-insights_Country_of_Residence__c,data-country-of-residence-servlet,
ci,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/ci-job-function-country-zip-state-city-phone,commodity-insights_industry,data-industry-servlet,
ci,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/ci-job-function-country-zip-state-city-phone,commodity-insights_Job_Function__c,data-job-function-servlet,
ci,country,/content/forms/af/spglobal/ci/form-fragments/country,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
ci,country-and-phone,/content/forms/af/spglobal/ci/form-fragments/country-and-phone,ci_Country,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-states-cf.json,
ci,country-and-phone,/content/forms/af/spglobal/ci/form-fragments/country-and-phone,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
ci,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/job-function-country-zip-state-city-phone,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
ci,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/job-function-country-zip-state-city-phone,commodityinsights_country,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-states-cf1.json,
ci,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/job-function-country-zip-state-city-phone,commodityinsights_jobFunction,/api/assets/spglobal/commodity-insights/en/form-content-fragments/job-function-cf.json,
ci,country,/content/forms/af/spglobal/ci/form-fragments/preference-center/country,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
ci,country-phone,/content/forms/af/spglobal/ci/form-fragments/preference-center/country-phone,ci_Country,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-states-cf.json,
ci,country-phone,/content/forms/af/spglobal/ci/form-fragments/preference-center/country-phone,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
ci,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/preference-center/job-function-country-zip-state-city-phone,ci_Country,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-states-cf.json,
ci,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/preference-center/job-function-country-zip-state-city-phone,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
ci,job-function-country-zip-state-city-phone,/content/forms/af/spglobal/ci/form-fragments/preference-center/job-function-country-zip-state-city-phone,ci_jobFunction,/api/assets/spglobal/commodity-insights/en/form-content-fragments/job-function-cf.json,
ci,personal-info,/content/forms/af/spglobal/ci/form-fragments/preference-center/personal-info,commodity-insights_country,data-ci-country-states-cf-servlet,
ci,personal-info,/content/forms/af/spglobal/ci/form-fragments/preference-center/personal-info,commodity-insights_Country_of_Residence__c,data-country-of-residence-servlet,
ci,personal-info,/content/forms/af/spglobal/ci/form-fragments/preference-center/personal-info,commodity-insights_industry,data-industry-servlet,
ci,personal-info,/content/forms/af/spglobal/ci/form-fragments/preference-center/personal-info,commodity-insights_Job_Function__c,data-job-function-servlet,
ci,regulatory-matters-contact-details,/content/forms/af/spglobal/ci/form-fragments/regulatory-matters-contact-details,commodity-insights_country,data-ci-country-states-cf-servlet,
ci,user-form-b,/content/forms/af/spglobal/ci/form-fragments/user-form-b,commodity-insights_country,data-ci-country-states-cf-servlet,
ci,dropdown-test,/content/forms/af/spglobal/ci/forms/dropdown-test,commodityinsights_Job_Function__c,data-job-function-servlet,
ci,moc-form,/content/forms/af/spglobal/ci/forms/moc-form,panel_17495792621730812875662,data-countryregionmarket-servlet,
ci,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/ci/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,commodity-insights_country,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/ci-country-states-cf.json,
ci,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/ci/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,commodity-insights_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/country-of-residence.json,
ci,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/ci/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,commodity-insights_industry,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/industry.json,
ci,ci-job-function-country-zip-state-city-phone-ko,/content/forms/af/spglobal/ci/ko/form-fragments/ci-job-function-country-zip-state-city-phone-ko,commodity-insights_Job_Function__c,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/job-function-cf.json,
ci,country-ko,/content/forms/af/spglobal/ci/ko/form-fragments/country-ko,ci_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/ko/form-content-fragments/country-of-residence.json,
ci,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/ci/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,commodity-insights_country,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/ci-country-states-cf.json,
ci,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/ci/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,commodity-insights_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/country-of-residence.json,
ci,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/ci/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,commodity-insights_industry,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/industry.json,
ci,ci-job-function-country-zip-state-city-phone-pt,/content/forms/af/spglobal/ci/pt/form-fragments/ci-job-function-country-zip-state-city-phone-pt,commodity-insights_Job_Function__c,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/job-function-cf.json,
ci,country-pt,/content/forms/af/spglobal/ci/pt/form-fragments/country-pt,ci_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/pt/form-content-fragments/country-of-residence.json,
ci,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/ci/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,commodity-insights_country,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/ci-country-states-cf.json,
ci,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/ci/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,commodity-insights_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/country-of-residence.json,
ci,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/ci/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,commodity-insights_industry,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/industry.json,
ci,ci-job-function-country-zip-state-city-phone-zh,/content/forms/af/spglobal/ci/zh/form-fragments/ci-job-function-country-zip-state-city-phone-zh,commodity-insights_Job_Function__c,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/job-function-cf.json,
ci,country-zh,/content/forms/af/spglobal/ci/zh/form-fragments/country-zh,ci_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/zh/form-content-fragments/country-of-residence.json,
corporate,sales-company-industry-job,/content/forms/af/spglobal/corporate/form-fragments/check-boxes-fragment/sales-company-industry-job,Corporate_Industry,/api/assets/spglobal/market-intelligence/en/content-fragments/sales-industry-list-cf.json,
corporate,sales-email-name-company,/content/forms/af/spglobal/corporate/form-fragments/check-boxes-fragment/sales-email-name-company,Corporate_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
corporate,sales-email-name-company,/content/forms/af/spglobal/corporate/form-fragments/check-boxes-fragment/sales-email-name-company,Corporate_phoneCode,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
corporate,sales-name-email-company-list,/content/forms/af/spglobal/corporate/form-fragments/check-boxes-fragment/sales-name-email-company-list,Corporate_corpCustomPhoneCountryCode,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-code-cf.json,
corporate,sales-name-email-company-list,/content/forms/af/spglobal/corporate/form-fragments/check-boxes-fragment/sales-name-email-company-list,Corporate_CountryCode,data-country,
corporate,corporate-form-fragment-contact-us,/content/forms/af/spglobal/corporate/form-fragments/contact-us-for-test/corporate-form-fragment-contact-us,Corporate_Country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,corporate-email-name-company-new,/content/forms/af/spglobal/corporate/form-fragments/corporate-contact-us/corporate-email-name-company-new,Corporate_Country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,corporate-form-fragment-contact-us-new,/content/forms/af/spglobal/corporate/form-fragments/corporate-contact-us/corporate-form-fragment-contact-us-new,Corporate_Country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,country-region,/content/forms/af/spglobal/corporate/form-fragments/corporate-contact-us/country-region,ci_Country_of_Residence__c,/api/assets/spglobal/corporate/en/form-content-fragments/country-of-residence.json,
corporate,country,/content/forms/af/spglobal/corporate/form-fragments/country,ci_country_Of_Residence,/api/assets/spglobal/commodity-insights/en/form-content-fragments/country-of-residence.json,
corporate,daily-update-newsletter-fragment,/content/forms/af/spglobal/corporate/form-fragments/daily-update-newsletter-subscription-request/daily-update-newsletter-fragment,Corporate_country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,email-phone-buy-side-firms,/content/forms/af/spglobal/corporate/form-fragments/email-phone-buy-side-firms,Corporate_corpCustomPhoneCountryCode,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-code-cf.json,
corporate,email-phone-buy-side-firms,/content/forms/af/spglobal/corporate/form-fragments/email-phone-buy-side-firms,Corporate_CountryCode,data-country,
corporate,Market_motion_FF,/content/forms/af/spglobal/corporate/form-fragments/market_motion/Market_motion_FF,Corporate_Country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,buy-side-daily-update-newsletter-subscription-form,/content/forms/af/spglobal/corporate/form-fragments/market_motion/buy-side-daily-update-newsletter-subscription-form,Corporate_Country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,cco-master-form-fragment,/content/forms/af/spglobal/corporate/form-fragments/market_motion/cco-master-form-fragment,Corporate_Country,/api/assets/forms-dropdown/country-list-cf.json,
corporate,sales-company-industry-job,/content/forms/af/spglobal/corporate/form-fragments/sales-form-fragments/sales-company-industry-job,Corporate_Industry,/api/assets/spglobal/market-intelligence/en/content-fragments/sales-industry-list-cf.json,
corporate,sales-email-name-company,/content/forms/af/spglobal/corporate/form-fragments/sales-form-fragments/sales-email-name-company,Corporate_complianceCountry,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
corporate,sales-email-name-company,/content/forms/af/spglobal/corporate/form-fragments/sales-form-fragments/sales-email-name-company,Corporate_phoneCode,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-cf.json,
corporate,sales-name-email-company-list,/content/forms/af/spglobal/corporate/form-fragments/sales-form-fragments/sales-name-email-company-list,Corporate_corpCustomPhoneCountryCode,/api/assets/spglobal/market-intelligence/en/content-fragments/country-states-code-cf.json,
corporate,sales-name-email-company-list,/content/forms/af/spglobal/corporate/form-fragments/sales-form-fragments/sales-name-email-company-list,Corporate_CountryCode,data-country,
corporate,spgi-newsletter-form-fragment,/content/forms/af/spglobal/corporate/form-fragments/spgi-newsletter-subscription/spgi-newsletter-form-fragment,Corporate_country,/api/assets/forms-dropdown/country-list-cf.json,
energy,user-form-b,/content/forms/af/spglobal/energy/en/form-fragments/user-form-b,energy_country,data-ci-country-states-cf-servlet,
energy,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/energy/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,energy_country,/api/assets/spglobal/commodity-insights/es/form-content-fragments/ci-country-states-cf.json,
energy,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/energy/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,energy_Country_of_Residence__c,/api/assets/spglobal/commodity-insights/es/form-content-fragments/country-of-residence.json,
energy,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/energy/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,energy_industry,/api/assets/spglobal/commodity-insights/es/form-content-fragments/industry.json,
energy,ci-job-function-country-zip-state-city-phone-es,/content/forms/af/spglobal/energy/es/form-fragments/ci-job-function-country-zip-state-city-phone-es,energy_Job_Function__c,/api/assets/spglobal/commodity-insights/es/form-content-fragments/job-function-cf.json,
energy,country-es,/content/forms/af/spglobal/energy/es/form-fragments/country-es,ci_Country_of_Residence__c,/api/assets/spglobal/energy/es/form-content-fragments/country-of-residence.json,
energy,business-information,/content/forms/af/spglobal/energy/form-fragments/business-information,energy_country,data-ci-country-states-cf-servlet,
energy,business-information,/content/forms/af/spglobal/energy/form-fragments/business-information,energy_Country_of_Residence__c,data-country-of-residence-servlet,
energy,business-information,/content/forms/af/spglobal/energy/form-fragments/business-information,energy_industry,data-industry-servlet,
energy,business-information,/content/forms/af/spglobal/energy/form-fragments/business-information,energy_Job_Function__c,data-job-function-servlet,
energy,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/ci-job-function-country-zip-state-city-phone,energy_country,data-ci-country-states-cf-servlet,
energy,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/ci-job-function-country-zip-state-city-phone,energy_Country_of_Residence__c,data-country-of-residence-servlet,
energy,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/ci-job-function-country-zip-state-city-phone,energy_industry,data-industry-servlet,
energy,ci-job-function-country-zip-state-city-phone,/content/forms/af/spglobal/energy/form-fragments/ci-job-function-country-zip-state-city-phone,energy_Job_Function__c,data-job-function-servlet,
energy,country,/content/forms/af/spglobal/energy/form-fragments/country,ci_country_Of_Residence,/api/assets/spglobal/energy/en/form-content-fragments/country-of-residence.json,
energy,country-and-phone,/content/forms/af/spglobal/energy/form-fragments/country-and-phone,ci_Country,/api/assets/spglobal/energy/en/form-content-fragments/country-states-cf.json,
energy,country-and-phone,/content/forms/af/spglobal/energy/form-fragments/country-and-phone,ci_country_Of_Residence,/api/assets/spglobal/energy/en/form-content-fragments/country-of-residence.json,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_country,data-ci-country-states-cf-servlet,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_Country_of_Residence__c,data-country-of-residence-servlet,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_industry,data-industry-servlet,
energy,energy-phone-industry-job-function-country-zip-city-business-phone,/content/forms/af/spglobal/energy/form-fragments/energy-phone-industry-job-function-country-zip-city-business-phone,energy_Job_Function__c,data-job-function-servlet,
